SentimentText,prediction
@Cernovich I can’t imagine the lawlessness which would ensue. Would make a good horror movie.,1.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",1.0
RT @DjLots3: BLOOD WILL BE ON YOUR HANDS #MSM! YOUR CONSTANT DIVISION WILL CAUSE CIVIL WAR!  @CNN @MSNBC @maddow @jaketapper @andersoncoope…,0.0
Trump women are not snow flakes! We are strong! https://t.co/gHfm1UBmuA,1.0
RT @DjLots3: BLOOD WILL BE ON YOUR HANDS #MSM! YOUR CONSTANT DIVISION WILL CAUSE CIVIL WAR!  @CNN @MSNBC @maddow @jaketapper @andersoncoope…,0.0
RT @YouLoveHelenaP: Sold! This vid is on fire! Helena Home Movies 7 - Pussy Cream Pie https://t.co/Ej7VVP3OyR #ManyVids https://t.co/zWyQCy…,1.0
Movie time with my dork husband 😜#ShareAMC https://t.co/feh3bFv4bj,2.0
"Sure, the Shawshank Redemption is a good movie but have you seen Superbad?",2.0
New post: FLORIDA AG PAM BONDI ATTACKED BY Screaming Liberals At Movie Screening with Family [Video] https://t.co/xD33GD1Rye,2.0
One of the best movies of the year! @FocusFeatures @MrRogersMovie https://t.co/nLg5fipQbu,2.0
Elle enchanted is such a beautiful movie,2.0
RT @DiamondandSilk: Looks like the racist democrats are acting like they're back in the the day when they used the KKK to harassed and inti…,0.0
RT @H4LL0WEEN_: ⚠️Spoiler Alert⚠️  Leaked page from the Halloween 2018 movie. 🎃🔪 https://t.co/hT6tYbKga7,1.0
@JonKasdan finally saw #Solo (new born held me back!) and just have to say you guys smashed it out of the park. Definitely the most enjoyable Star Wars movie since the @Disney acquisition and probably in my top three of all time. Hope you get the chance to do a sequel! #ThankYou,2.0
RT @THR: .@TomHolland1996 reveals next 'Spider-Man' movie is called 'Far From Home' https://t.co/5OvnaIyWfD https://t.co/lgsyqVDYNW,2.0
"【最近のオススメ人気動画】 チャンネル:遊人TV 視聴回数 7,554 回  【プロスピA】球史に残る大熱戦wともきんにリアルタイム対戦でリベンジしてやったww  #プロスピ #パワプロ #プロ野球バーサス   https://t.co/NdTLl6EKRs",0.0
RT @Vegesnow: Dragon Ball Super - Movie character design https://t.co/ctD6piW3uU,2.0
"@_Cringe_Queen_ \"Alien Invasion Tomato Monster Mexican Armada Brothers Who Are Just Regular Brothers Running In A Van From An Asteroid And All Sorts Of Things: The Movie.\" #RickAndMorty",2.0
I could take on watching a lil scary movie,0.0
"RT @WarpsiwaJAV: NHDTB-052 Kurata Mao, Kimito Ayumi, Kanade Jiyuu 🔞 #วาร์ปสิวะ #JAV 🎬 Full Movie https://t.co/2ElyPoCEKS https://t.co/ol3ni…",1.0
"@the_valerie I totally agree. Such a great job of transporting the viewer into Meg’s head and feeling her emotions. Some of my friends say that the movie dumbs down some of the Christian message, but whatever.",2.0
@BeingSalmanKhan FOR YOUR NEXT MOVIE? 😊 #salmankhan #ThodaBingThodaBang https://t.co/l50gWQtoKw,2.0
"RT @MetaEnt361: Last night was a movie!  S/O to everybody who came out and supported the movement!   Ice those necks, re- hydrate, and stay…",2.0
In a series or movie. Not in real life. https://t.co/psXQBurHLy,0.0
"The longest movie in the world is 720 hours (30 days) long, a 72 hour trailer is being released in 2018, and the full movie is yet to be released in 2020. https://t.co/hOkC08yfz7",0.0
