2018-06-24 23:01:35 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-06-24 23:01:35 INFO  SparkContext:54 - Running Spark version 2.3.0
2018-06-24 23:01:36 INFO  SparkContext:54 - Submitted application: Streaming App
2018-06-24 23:01:36 INFO  SecurityManager:54 - Changing view acls to: ubuntu
2018-06-24 23:01:36 INFO  SecurityManager:54 - Changing modify acls to: ubuntu
2018-06-24 23:01:36 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-06-24 23:01:36 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-06-24 23:01:36 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(ubuntu); groups with view permissions: Set(); users  with modify permissions: Set(ubuntu); groups with modify permissions: Set()
2018-06-24 23:01:36 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 37472.
2018-06-24 23:01:36 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-06-24 23:01:36 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-06-24 23:01:36 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-06-24 23:01:36 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-06-24 23:01:36 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-8192dcbf-adbd-4bb0-b4a8-586ec0904d52
2018-06-24 23:01:36 INFO  MemoryStore:54 - MemoryStore started with capacity 413.9 MB
2018-06-24 23:01:36 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-06-24 23:01:36 INFO  log:192 - Logging initialized @4891ms
2018-06-24 23:01:36 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2018-06-24 23:01:37 INFO  Server:414 - Started @5014ms
2018-06-24 23:01:37 WARN  Utils:66 - Service 'SparkUI' could not bind on port 4040. Attempting port 4041.
2018-06-24 23:01:37 INFO  AbstractConnector:278 - Started ServerConnector@128780a1{HTTP/1.1,[http/1.1]}{0.0.0.0:4041}
2018-06-24 23:01:37 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4041.
2018-06-24 23:01:37 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@58cb867{/jobs,null,AVAILABLE,@Spark}
2018-06-24 23:01:37 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@28d4640b{/jobs/json,null,AVAILABLE,@Spark}
2018-06-24 23:01:37 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@738edc1d{/jobs/job,null,AVAILABLE,@Spark}
2018-06-24 23:01:37 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@70e69df8{/jobs/job/json,null,AVAILABLE,@Spark}
